year,Player,mvp_bonus
2020,Giannis Antetokounmpo,80
2019,Giannis Antetokounmpo,80
2018,James Harden,80
2017,Russell Westbrook,80
2016,Stephen Curry,80
2015,Stephen Curry,80
2014,Kevin Durant,80
2013,LeBron James,80
2012,LeBron James,80
2011,Derrick Rose,80
2010,LeBron James,80
2009,LeBron James,80
2008,Kobe Bryant,80
2007,Dirk Nowitzki,80
2006,Steve Nash,80
2005,Steve Nash,80
2004,Kevin Garnett,80
2003,Tim Duncan,80
2002,Tim Duncan,80
2001,Allen Iverson,80
2000,Shaquille O'Neal,80
1999,Karl Malone,80
1998,Michael Jordan,80
1997,Karl Malone,80
1996,Michael Jordan,80
1995,David Robinson,80
1994,Hakeem Olajuwon,80
1993,Charles Barkley,80
1992,Michael Jordan,80
1991,Michael Jordan,80
1990,Magic Johnson,80
1989,Magic Johnson,80
1988,Michael Jordan,80
1987,Magic Johnson,80
1986,Larry Bird,80
1985,Larry Bird,80
1984,Larry Bird,80
1983,Moses Malone,80
1982,Moses Malone,80
1981,Julius Erving,80
1980,Kareem Abdul-Jabbar,80
